,review,rating
5553,"""This never worked for me, not even a little.  It might have been a placebo.  Testin works GREAT!!!""",1
21261,"""I tried this drug as part of a clinical trial for my 9 year old son. On the second night of taking the medicine he woke up having an over 7 minute seizure and stopped breathing during one of the clusters. His seizures were lasting 1 to 2 minutes prior and he has never stopped breathing. I had to call 911 which I&#039;ve never had to do before. It was very scary. We have dropped out of the trial. I&#039;m disappointed I was hoping this would help us as well as others.""",1
30646,"""So I was given Lyza because of my migraines. Long story short as soon as i started taking it I&#039;ve had problems. My migraines seem even worse. It made me really moody &amp; depressed. Not to mention never having a break from my period if I&#039;m lucky I get 5 days off at the most other than that I&#039;m always on my period. I definitely would not recommend!""",1
93174,"""This medication is an absolute waste of time. I have been on Invega for a little less than 2 years now and I can with absolute confidence ascertain that it has done nothing for me. Aside from the decrease in sexual appetite and libido, difficulty having and maintaining erections, little to no ejaculatory fluid (which is really frustrating btw), the muscle tremors I am experiencing, and the 30 pounds I have gained since starting this medication , it is with no doubt an absolute and total waste of money. I definitely would not recommend this medication to anyone. Save yourselves the time and money and DO NOT take this medication.""",1
148739,"""Confusion, lethargy, diarrhea, hyperchloremia, CO2 16, nausea, dizziness""",1
9521,"""I took Rytary for approximately 1 month in 2016. The worst experience in the 14 years I have had Parkinson&#039;s disease. My Neuro tried different doses at different times of the day, it would only work with Sinemet to help kickstart at first, after about a week it was no longer predictable. Several times I had to crawl because I could not walk, once I got up to go the bathroom but could not cross the threshold and had to urinate on the floor. The last day my Neuro asked me to try 4 capsules at once as a last resort, It was 2 hours before I could get out of bed!
I still feel the effects to this day.""",1
85314,"""I was given this medicine to take for fatigue and it only slowed me down, got dry mouth, and a bit of confusion. I will stop this and contact the doctor.""",1
66147,"""Do NOT get an IUD. Got inserted on 10.9.17. Even after taking 4 ibuprofen to prepare for the pain it was excruciating for 4 days. I ended up going to the ER. Mind you, I&rsquo;m 8 months post baby so it shouldn&#039;t have hurt that much. Side effects: cramping/pain, mood swings, back pain, vaginal infection...which I just found out after a month of having this thing in I have BV. I literally just pulled it out on my own since my Dr. refused to remove it and kept convincing me to keep it in just because my side effects are slightly better. DO NOT GET AN IUD. Remember, Drs. profit off of RX&rsquo;s. I refuse to suffer for longer than a month. The infection was the last straw which I KNOW the IUD caused because I was tested during insertion and was negative.""",1
108877,"""I originally had the Nexplanon implant fitted 5 years ago, when I was 16. Shortly after, I started suffering with depression and body confidence issues and my interest in food disappeared all together. I was put on medication for this but more recently, I have started having issues such as constant bleeding with no breaks, acne, I have been placed on a stronger dose of medication for depression and anxiety for the second time as this has just gotten worse, migranes and muscle aches and pains! I would not reccomend this to any women as, for me, it&#039;s been more trouble than it&#039;s worth. Now it&#039;s been removed, I feel like myself again!""",1
52744,"""Had taken Diovan 160mg and a separate water pill 12.5mg. Then my doctor switched me to Diovan HCT to save money. No good. Wound up with a severe rash. Switched back to the two pill system and now am fine.""",1
16429,"""I was given this medication in the emergency room for the anxiety I was having. It did nothing for me. I&#039;m bipolar plus I have anxiety. I&#039;m looking for something new. I was on klonopin but was taken off of it because it&#039;s highly addictive. I had taken that for 24 years. That helped a lot. I&#039;m disappointed that atarax didn&#039;t work.""",1
99304,"""Total scam. 

I&#039;ve been on this drug for 3 years. Since being on it, It caused acute arm paralysis, dystonia, difficulty speaking, delirium which lasted for a month and it caused weight gain and man boobs.

When I first received the shot, it felt like my brain was about to explode.

I had extremely high blood pressure on this medicine- 178/105. After I stopped it, my blood pressure is 110/78.

I experienced temporal lobe damage from this medicine and a CT scan showed atrophy of my brain after I stopped taking it.

Be careful- many psychiatrists receive grants and stipends from big pharma and receive extra insurance money to peddle more drugs to as many patients as possible.

This is because of our fee-for-service healthcare system.""",1
79678,"""Terrible side effects, difficult withdrawal""",1
56857,"""I was given this medication to replace Toprimate. I took a pill Friday night and Saturday night (10mg). Given I was feeling well prior to taking this, I soon discovered/realized that it made me more emotional and it felt like I wanted to cry at any small thing. Combined with the feeling that it revved me up even at 3am in the morning, I have since stopped.""",1
125976,"""I was in the hospital this weekend for a PE left lung and pneumonia in my right. Completely unsymptomatic except for a very unusual episode of vomiting with chest pain. Have a PICC and doc was concerned it may have become dislodged, so to the ER we went. The whole PE / pneumonia thing is still utterly unreal to us - still in a daze, trying to figure out what it means for lifestyle changes. 

Since they switched me from Coumadin IV to Xarelto in the hospital I have had a non-stop awful migraine, upper back and neck pain (muscular), some upset stomach. My lower jaw and teeth hurt - something I&#039;ve never experienced as I have no cavities at age 47; I can empathize with my husband&#039;s toothaches a bit now, unfortunately. 

Awful.""",1
39382,"""My husband had been taking this for inflammation for a few months.  Meloxicam caused a large bleeding ulcer in his intestine that developed over the few months that he had been taking it.  He ended up in the emergency room after he collapsed and lost a lot of blood from internal bleeding.  It also gave him a lot of gas and stomach upset.  I would not recommend for anyone to take it.  It did not do much to relieve his inflammation pain in his shoulder.  Please read all side effects that this medication might cause before you start taking it.""",1
